Airdrop_Amount,Wallet_Address
590318,0xe117d3d94b30f7e7aa4f29704d0d2f43c009b9a8
590318,0xc5b8225b939a5ad72640ccaecb11ca68b7c76b16
590318,0x0b573cf1dee23578cf167b933cf7a065506438a4
590318,0xc5ab28e4d8f52b1c8b74bde6f18737e79dd9f6ce
590318,0xdfb27231979a3367579794001c006f6d3875d16f
590318,0xc55e132556d4dd363758fe78ce0d79780c807fb6
590318,0xc513f211f37a862fb93737604161b3bccaee3b76
590318,0xc49a9cc3269fded6ab0b4e0fb3e0357632e7fecf
590318,0xc45860b613d9c4bc1a069c7c915741953c236d55
590318,0x1e5aebcfdc780da4fb506e93a0b398490fd94864
590318,0xc3931abf1a6d455a00a382d2088fe2dffef1fb9b
590318,0xc35bc7e918bb4c0159296d9749dc59de605b4b93
590318,0xc32c372b9db11398d1ed9226d0cf36c7c7a88de3
590318,0xc300f72b05889cb9687a0e209add25ad462a9bf1
590318,0x1e117f2ad2c2f0899856923616fd70283f3d7fdd
590318,0xc27b77837ab632388b73e3c0c026a5773eb9ef77
590318,0xc2466d1bdb27f1dffbcdbd3c7eead7ab095cde3f
590318,0xc1d0bd227b19816b16e4956d42daec338e851834
590318,0xc1e7ca17274c36a3358460f93ce30200916688b6
590318,0xc19fd0195421f51baba548ac496891ea3966d6fc
590318,0x3a277f0299691d35bd49d669d7d6f9dcaf8fff7f
590318,0x3a14f6e77750e1416482ef4f9b5a72ac9b241f77
590318,0x77e978ec1f2841eed3239be68fcdc82b4d13f021
590318,0xddb47057e44621f30495af8134babe687a8b6c58
590318,0xdd759fae40bdb0d80d140c8f66ec3f005786f947
590318,0xdce64a75c5a15826d059fc3d0812dbd3baef5893
590318,0xdc6f30db3f60be3d9b817c320086d3b2cb26c195
590318,0x3f86f18322a888d9b3adef38f127c941bccc014d
590318,0xdbf0f3e7b6aa00f501967fdd1b6569e7c9508bb1
590318,0xf6e6c83ee7db137ed8dadd5d7bbc6b38220a6602
590318,0x3a2c50d6892f53d55372857ee9939202699de928
590318,0x7b2f7fd2d7abf0a969e48b71e1b024f0dbbd4691
590318,0x6fedfdb4249cd5dca3030fd09e0e1368f23cb4f8
590318,0xf9ec946c7d7fa6189147eee1c2b7bf418e7eb705
590318,0xe7856ec5ed5efc43ab3f2664c39a4ed9d149a601
590318,0x75f57d5474de096dca10078a58a47016216e7ca1
590318,0x3da406dd5a2c8201658d0fe66d3b46ab4a0a9c7b
590318,0x3ccfc95726606575a873369b9a9f90e2c3e7e349
590318,0xd88fac3409921f52001bde7a96838051342777d7
590318,0xdbb2e4b1538267d13e0d23e35eebf0dc628c2c8f
590318,0x72e9acc29a6a15b6ecd82714dfef281398d9ce51
590318,0x72aac529b35e22c21d51dfd2762207a03eeb26de
590318,0x3fe275ce18b5345fc4e696887d0671ead9a12db3
590318,0x725bed20a6e0f214c1a51aa20bc53fefdb2a391d
590318,0x726244e62acce22bbdf25cdf30c7463640a1cc31
590318,0x40a5e1e9d2dd0410669e44eb101a6a4c232a99d7
590318,0x756e68f85226e17c2ad9a36f5f3c81f88a01b20d
590318,0xdc5ecfa3cc8dc76ad7e390628ba8d0244b4e6cbb
590318,0x1ec5cb28238db16f865a4a4f1c3e5691722d6f46
590318,0xe8c7881faa68bcc9dad7681d8e9b182453c4d6ee
590318,0x7014b6cd65b26c6ffd06153481ee439ec2e38281
590318,0x7763ba84f29aed3b290d03c597e40ff001821629
590318,0xe7670fa6572259675e1241e8e0cdba7ca1c15913
